Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
NTN,"NTN Buzztime, Inc.",Services,Broadcasting - TV,USA,11.64M,0.00,3.92
OIBR-C,Oi S.A.,Technology,Diversified Communication Services,Brazil,2.54B,0.07,3.67
BVSN,"BroadVision, Inc.",Technology,Internet Software & Services,USA,8.87M,0.12,1.84
YECO,Yulong Eco-Materials Limited,Industrial Goods,General Building Materials,China,8.22M,0.33,5.69
STCN,"Steel Connect, Inc.",Services,Business Services,USA,117.82M,0.44,1.99
LCUT,"Lifetime Brands, Inc.",Consumer Goods,Housewares & Accessories,USA,213.72M,0.46,10.25
OPHT,Ophthotech Corporation,Healthcare,Biotechnology,USA,86.51M,0.53,2.28
SOL,ReneSola Ltd,Technology,Semiconductor - Specialized,China,58.92M,0.55,1.52
AVYA,Avaya Holdings Corp.,Services,Business Services,USA,1.83B,0.61,16.36
CMLS,Cumulus Media Inc.,Services,Broadcasting - Radio,USA,257.46M,0.63,14.75
NES,"Nuverra Environmental Solutions, Inc.",Industrial Goods,Waste Management,USA,143.86M,0.74,11.35
OZM,Och-Ziff Capital Management Group LLC,Financial,Asset Management,USA,589.48M,0.80,1.23
CIDM,Cinedigm Corp.,Services,Entertainment - Diversified,USA,32.12M,0.80,0.88
