Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
GOF,-,11.53%,-,-,-,-,-,-,-,-,-,-,-,19.35,1.85%
MITT,494.87M,11.51%,1.70%,11.60%,-,-,-,0.03,4.95,53.90%,45.60%,43.60%,Nov 07/a,17.38,0.03%
SSI,43.92M,11.49%,-7.00%,-18.80%,-5.60%,2.80,0.40,0.91,0.92,23.20%,-3.20%,-3.70%,Aug 23/b,1.72,-1.15%
GER,-,11.49%,-,-,-,-,-,-,-,-,-,-,-,5.66,1.60%
CEM,-,11.43%,-,-,-,-,-,-,-,-,-,-,-,12.62,1.61%
SXCP,660.35M,11.39%,8.50%,24.80%,-2.10%,1.30,0.70,1.34,1.34,30.10%,16.20%,15.80%,Oct 25/b,13.49,-3.99%
PBI,1.26B,11.38%,3.80%,142.60%,8.30%,1.20,1.20,16.56,18.28,48.10%,9.60%,6.90%,Nov 01/b,6.62,0.46%
BKEPP,-,11.36%,-,-,-,-,-,-,-,-,-,-,-,6.34,1.44%
NRZ,6.19B,11.28%,6.50%,27.90%,4.90%,-,-,1.17,2.71,64.40%,67.50%,59.00%,Oct 25/b,17.90,0.93%
CIM,3.37B,11.27%,2.60%,15.50%,2.60%,-,-,2.61,5.11,47.00%,50.20%,47.00%,Oct 31/b,18.59,4.72%
GGT,190.61M,11.24%,-,-,-,-,-,-,-,-,-,-,-,8.13,3.83%
CHY,778.71M,11.24%,-,-,-,-,-,-,-,-,-,-,-,10.84,1.53%
IGD,631.97M,11.21%,-,-,-,-,-,-,-,-,-,-,-,6.59,1.23%
HCLP,653.24M,11.21%,16.70%,23.30%,9.40%,1.80,1.50,0.22,0.23,29.70%,24.10%,22.30%,Oct 30/a,7.73,-3.74%
MLPZ,-,11.20%,-,-,-,-,-,-,-,-,-,-,-,34.12,4.66%
TYG,1.23B,11.19%,-,-,-,-,-,-,-,-,-,-,-,23.76,1.50%
SFL,1.50B,11.19%,2.80%,7.50%,5.60%,0.50,0.50,0.95,1.54,66.40%,32.80%,23.60%,Nov 21/b,12.53,0.16%
DBD,272.44M,11.17%,-6.90%,-83.30%,-1.40%,1.40,0.90,8.00,8.30,22.10%,-3.50%,-7.80%,Oct 31/b,3.90,8.94%
PRT,151.46M,11.16%,-,-,-,-,-,-,-,-,-,-,-,12.52,0.60%
MRCC,259.99M,11.15%,2.90%,5.10%,5.20%,-,-,0.87,0.87,57.30%,53.60%,25.10%,Nov 06/a,12.76,1.59%
NHF,-,11.14%,-,-,-,-,-,-,-,-,-,-,-,21.78,1.07%
JMLP,-,11.13%,-,-,-,-,-,-,-,-,-,-,-,6.86,1.77%
IVR,1.71B,11.12%,1.70%,15.40%,1.70%,-,-,0.86,7.98,49.80%,48.40%,51.50%,Nov 05/a,15.11,0.00%
ARLP,2.48B,11.11%,16.80%,31.70%,18.80%,1.10,0.90,0.34,0.42,96.10%,20.50%,19.60%,Oct 29/b,19.21,2.56%
SCM,195.91M,11.07%,-,-,-,-,-,-,-,-,-,-,Nov 07/b,12.35,0.57%
PGP,142.09M,11.06%,-,-,-,-,-,-,-,-,-,-,-,13.20,0.00%
TTP,-,11.05%,-,-,-,-,-,-,-,-,-,-,-,14.83,0.54%
ERC,377.84M,11.03%,-,-,-,-,-,-,-,-,-,-,-,11.57,0.52%
SHI,7.46B,11.01%,18.20%,26.70%,16.30%,1.60,1.10,0.00,0.05,9.00%,8.50%,8.00%,Nov 20/a,43.92,1.62%
IID,-,10.97%,-,-,-,-,-,-,-,-,-,-,-,5.72,1.24%
EXG,-,10.95%,-,-,-,-,-,-,-,-,-,-,-,8.49,2.22%
OPP,-,10.94%,-,-,-,-,-,-,-,-,-,-,-,16.31,-0.85%
CHMI,284.93M,10.94%,3.50%,26.10%,2.40%,-,-,0.26,5.74,67.40%,64.50%,56.70%,Nov 06/a,17.94,0.14%
THW,-,10.90%,-,-,-,-,-,-,-,-,-,-,-,13.14,2.34%
HDLV,-,10.86%,-,-,-,-,-,-,-,-,-,-,-,24.54,-0.20%
KMF,-,10.80%,-,-,-,-,-,-,-,-,-,-,-,11.25,1.26%
SRLP,558.11M,10.79%,2.50%,17.80%,7.00%,1.80,1.00,3.52,3.92,7.90%,2.10%,0.80%,Nov 07/b,25.33,2.34%
JMF,-,10.79%,-,-,-,-,-,-,-,-,-,-,-,9.45,1.94%
MCC,202.10M,10.78%,-,-,-,-,-,-,-,-,-,-,Nov 08/a,3.67,-1.08%
CCR,509.55M,10.78%,11.00%,28.10%,12.20%,0.60,0.40,0.78,0.80,-,18.50%,15.20%,Oct 29,19.88,4.52%
ATTO,452.81M,10.78%,-1.50%,-5.60%,9.40%,1.50,1.50,1.29,1.48,-,4.80%,-1.10%,Nov 12/a,6.10,-3.33%
MTBCP,302.67M,10.76%,-,-,-,-,-,-,-,-,-,-,-,25.56,0.04%
FEI,-,10.76%,-,-,-,-,-,-,-,-,-,-,-,11.15,0.00%
HCFT,80.12M,10.76%,-0.40%,-8.10%,0.20%,-,-,0.17,0.17,-45.30%,-,-19.60%,Nov 08/a,3.52,2.38%
PSEC,2.45B,10.75%,-,-,-,-,-,-,-,-,-,-,Nov 27/a,6.82,1.87%
PLYM,65.10M,10.71%,-7.00%,992.10%,-1.10%,0.50,0.50,-,-,65.10%,-15.30%,-53.40%,Nov 13/b,14.00,0.00%
TNK,294.57M,10.71%,-3.40%,-7.50%,0.10%,0.70,0.70,0.96,1.13,22.80%,-6.10%,-13.30%,Nov 08/b,1.10,-1.79%
HCAP,68.14M,10.70%,-,-,-,-,-,-,-,-,-,-,Nov 08/b,10.61,-0.38%
FAX,989.61M,10.70%,-,-,-,-,-,-,-,-,-,-,-,3.93,0.25%
SITC,2.40B,10.69%,-3.90%,-11.60%,-3.10%,-,-,1.66,1.66,72.60%,-12.20%,-30.60%,Oct 24/a,12.51,-0.20%
HIHO,13.80M,10.67%,7.90%,12.30%,12.20%,2.90,2.40,0.00,0.00,35.80%,9.70%,7.90%,Nov 26/b,3.84,2.37%
LMRK,362.53M,10.65%,2.10%,5.20%,4.30%,-,-,1.60,1.60,98.80%,63.00%,27.30%,Nov 08/b,14.35,3.99%
SJT,236.31M,10.65%,300.30%,519.60%,592.90%,-,-,0.00,0.00,-,79.00%,78.80%,Nov 08,5.10,0.59%
CIF,46.30M,10.64%,-,-,-,-,-,-,-,-,-,-,-,2.35,0.00%
CCD,-,10.64%,-,-,-,-,-,-,-,-,-,-,-,18.95,0.80%
SIR,1.82B,10.63%,1.60%,3.80%,3.10%,-,-,1.00,1.00,77.80%,32.10%,16.60%,Oct 29/b,19.02,-0.87%
EFC,467.36M,10.61%,1.80%,9.30%,1.70%,-,-,0.47,2.84,51.80%,33.10%,51.10%,Nov 05/a,15.51,0.39%
DPG,-,10.61%,-,-,-,-,-,-,-,-,-,-,-,13.28,0.61%
MIC,3.32B,10.57%,6.30%,16.50%,3.60%,2.40,2.40,1.08,1.10,54.60%,16.80%,26.50%,Oct 31/a,37.10,-2.01%
CTL,24.04B,10.56%,2.30%,7.80%,2.90%,1.00,1.00,1.60,1.62,53.00%,11.90%,7.60%,Nov 08/a,20.72,1.27%
MFV,38.56M,10.56%,-,-,-,-,-,-,-,-,-,-,-,5.45,0.98%
SNP,105.72B,10.54%,2.60%,5.40%,6.10%,0.80,0.40,0.20,0.36,21.50%,2.60%,1.50%,Nov 26,80.79,-1.33%
GMZ,-,10.54%,-,-,-,-,-,-,-,-,-,-,-,8.19,2.76%
CGO,96.70M,10.54%,-,-,-,-,-,-,-,-,-,-,-,11.56,1.49%
IRS,796.04M,10.53%,5.40%,48.10%,11.60%,2.10,2.00,4.84,5.52,40.70%,85.00%,45.30%,Nov 07,13.36,1.91%
ARR,911.87M,10.52%,1.90%,12.80%,-,-,-,0.00,5.97,62.70%,48.30%,43.70%,Oct 31/a,21.86,0.88%
ENLK,5.55B,10.49%,1.10%,4.00%,4.90%,0.70,0.60,1.38,1.53,-,6.40%,1.60%,Nov 06/a,15.10,1.51%
PNNT,480.82M,10.48%,-,-,-,-,-,-,-,-,-,-,Nov 15/a,7.13,3.71%
FEDU,195.21M,10.47%,2.30%,3.10%,5.80%,2.90,2.90,0.00,0.00,57.40%,15.20%,6.50%,Oct 24/b,4.21,4.99%
GAB,1.44B,10.47%,-,-,-,-,-,-,-,-,-,-,-,5.83,1.74%
DMO,-,10.46%,-,-,-,-,-,-,-,-,-,-,-,22.11,1.42%
FDEU,-,10.45%,-,-,-,-,-,-,-,-,-,-,-,14.03,1.15%
SCD,214.36M,10.40%,-,-,-,-,-,-,-,-,-,-,-,12.22,2.54%
DBL,-,10.40%,-,-,-,-,-,-,-,-,-,-,-,19.39,0.77%
ANDX,9.18B,10.38%,5.30%,15.70%,9.70%,0.90,0.90,1.57,1.57,35.30%,21.80%,11.70%,Nov 07/b,40.42,1.86%
GME,1.58B,10.36%,-0.90%,-2.00%,4.40%,1.50,0.50,0.39,0.39,32.70%,0.80%,-0.50%,Dec 06/a,14.70,0.20%
IEP,12.26B,10.35%,3.30%,19.40%,4.60%,-,-,1.40,1.40,25.20%,7.30%,6.30%,Nov 09/b,69.36,2.57%
TCPC,818.58M,10.34%,-,-,-,-,-,-,-,-,-,-,Nov 08/b,14.06,1.01%
GNL,1.51B,10.34%,0.50%,1.10%,2.80%,-,-,1.23,0.00,79.00%,31.50%,5.60%,Nov 07/b,20.42,-0.85%
SPH,1.44B,10.33%,3.50%,13.30%,6.20%,1.10,0.70,2.18,2.18,57.10%,11.50%,5.70%,Nov 15/b,22.80,-1.85%
